GEODB_OID,GEODB_SUBT,OBJECTID,ASSET_ID,AM_OWNER,AM_OWNER_R,AM_DEPT,AM_DEPT_RE,AM_DATE,AM_MATERIA,AM_MATER00,AM_SIZE,AM_SIZE_RE,AM_TYPE,AM_ESTIMAT,DRAW_TYPE,DRAW_TYPE_,COMMENTS,INV_ELEV,LIFT_NAME,LIFT_ID,MET_INPUT,MET_TECH,MET_TECH_R,MET_OVR_BY,MET_OVR_TY,ENABLED,ENABLED_RE,ANCILLARYR,ANCILLAR00,GLOBALID,XCOORD,YCOORD
38,LIFT STATION,38,SANLST00001,DNV,DISTRICT OF NORTH VANCOUVER,,,1964,,,,,1,,ASBUILT,ASBUILT,,-0.39,FORESTER ST,#16,APRIL 2003,M BENZON,M BENZON,,,1,True,0,None,{DD950E70-0926-4EDF-8E5E-2D3F72733531},-123.011041,49.307119
39,LIFT STATION,39,SANLST00002,DNV,DISTRICT OF NORTH VANCOUVER,,,1964,,,,,1,,ASBUILT,ASBUILT,,17.41,1419 RIVERSIDE DR,#17,APRIL 2006,R LAU,R LAU,,,1,True,0,None,{BBE98523-95D0-4BAE-B4B7-C3CB3246D0A2},-123.013022,49.320110
40,LIFT STATION,40,SANLST00003,DNV,DISTRICT OF NORTH VANCOUVER,,,1998,,,,,1,,ASBUILT,ASBUILT,,-1.96,RIVERSIDE & SPICER,#14,APRIL 2003,M BENZON,M BENZON,,,1,True,0,None,{6265EC04-65F7-47C0-8C57-FFDF9E749838},-123.020255,49.303529
41,LIFT STATION,41,SANLST00004,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,,,1,,ASBUILT,ASBUILT,,3.78,DOMINION & MOUNTAIN,#13,APRIL 2003,M BENZON,M BENZON,,,1,True,0,None,{463E6ABD-5DA5-44E4-9303-5199F24D6D73},-123.032261,49.303437
42,LIFT STATION,42,SANLST00005,PRIVATE,PRIVATE,,,1973,,,,,1,,ASBUILT,ASBUILT,,1.06,,,APRIL 2003,M BENZON,M BENZON,,,1,True,0,None,{6108722C-17B4-4EB9-A0DD-9FAEF4FFE86A},-123.028637,49.305278
43,LIFT STATION,43,SANLST00006,DNV,DISTRICT OF NORTH VANCOUVER,,,1973,,,,,1,,CONSTRUCTION,CONSTRUCTION,,12.49,PREMIER ST SOUTH,#15,APRIL 2003,M BENZON,M BENZON,,,1,True,0,None,{02B65212-F2D5-415C-AEE4-FA54B702B078},-123.031859,49.317094
44,LIFT STATION,44,SANLST00007,DNV,DISTRICT OF NORTH VANCOUVER,,,1981,,,,,1,,ASBUILT,ASBUILT,,24.4,PREMIER ST NORTH,#18,NOVEMBER 2006,R LAU,R LAU,,,1,True,0,None,{F4178032-88D0-410B-85FB-C391C3105E73},-123.027110,49.323808
45,LIFT STATION,45,SANLST00008,DNV,DISTRICT OF NORTH VANCOUVER,,,1995,,,,,1,,CONSTRUCTION,CONSTRUCTION,,-99,OPERATIONS CENTRE,#1,APRIL 2003,R FRANCO,R FRANCO,,,1,True,0,None,{D3CB05A8-3822-4255-BD24-161B5C182536},-123.035991,49.309844
46,LIFT STATION,46,SANLST00009,DNV,DISTRICT OF NORTH VANCOUVER,,,1965,,,,,1,,ASBUILT,ASBUILT,,-0.45,SEASHELL LN,#20,APRIL 2003,J MACD,J MACD,,,1,True,0,None,{180D2408-79C3-4CE5-B3CC-7AA062278AA9},-122.948472,49.305666
47,LIFT STATION,47,SANLST00010,DNV,DISTRICT OF NORTH VANCOUVER,,,1982,,,,,1,,CONSTRUCTION,CONSTRUCTION,,-99,CATES PARK,#2,APRIL 2003,J MACD,J MACD,,,1,True,0,None,{846A8F30-B37F-45DB-B555-1F7D81EDAEFF},-122.956061,49.301300
