GEODB_OID,OBJECTID,DBLINK,MET_INPUT,MET_TECH,MET_TECH_R,COGO,COGO_RESOL,INCIDENT,AIR_SPACE,AIR_SPACE_,SHAPE_STAR,SHAPE_STLE,SHAPE_ST00,SHAPE_ST01,XCOORD,YCOORD
43.000000000000000,43.000000000000000,1-13414-1,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1010.880978000000027,137.986153000000002,1010.880978000000027,137.986153000000002,-122.924798,49.341411
268.000000000000000,268.000000000000000,1-3112-10,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1009.747114000000010,130.758904000000001,1009.747114000000010,130.758904000000001,-122.941940,49.340219
2189.000000000000000,2189.000000000000000,10928-79,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,742.136518000000024,117.491827000000001,742.136518000000024,117.491827000000001,-123.026226,49.330808
2580.000000000000000,2580.000000000000000,11-3766-12,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,410.352064999999982,94.679264000000003,410.352064999999982,94.679264000000003,-122.949570,49.322419
2908.000000000000000,2908.000000000000000,11091-6,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,764.285684999999944,116.668936000000002,764.285684999999944,116.668936000000002,-123.035760,49.333030
4457.000000000000000,4457.000000000000000,12535-31,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,993.609435999999960,131.716038999999995,993.609435999999960,131.716038999999995,-122.994965,49.311259
5131.000000000000000,5131.000000000000000,13-4740-39,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,598.242958000000044,109.562060000000002,598.242959000000042,109.562060000000002,-123.113650,49.334924
5207.000000000000000,5207.000000000000000,13-8683-30,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,685.496023000000037,109.534272999999999,685.496023000000037,109.534272999999999,-123.082294,49.351096
5407.000000000000000,5407.000000000000000,13105-1,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,775.514320999999995,115.972729000000001,775.514320999999995,115.972729000000001,-122.999570,49.328569
5539.000000000000000,5539.000000000000000,13234-10,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,689.405324999999948,112.535659999999993,689.405324999999948,112.535659999999993,-122.998357,49.329528
5590.000000000000000,5590.000000000000000,13271-2,APRIL 2005,T WEBSTER,T WEBSTER,N,NO,,N,NO,5.540275000000000,38.468814000000002,5.540275000000000,38.468814000000002,-123.025036,49.345770
5755.000000000000000,5755.000000000000000,13438-3,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,699.771072000000004,110.466631000000007,699.771072000000004,110.466631000000007,-123.038729,49.324434
6974.000000000000000,6974.000000000000000,14007-135,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,709.991863999999964,111.882842999999994,709.991863999999964,111.882842999999994,-123.059745,49.344705
7672.000000000000000,7672.000000000000000,14744-A,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,655.403610999999955,108.465602000000004,655.403610999999955,108.465602000000004,-122.956080,49.305177
7808.000000000000000,7808.000000000000000,14915-55,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,961.880436000000032,133.157002000000006,961.880436000000032,133.157002000000006,-122.957631,49.309845
8036.000000000000000,8036.000000000000000,15-2668-37,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,600.844477999999981,109.165165000000002,600.844477999999981,109.165165000000002,-122.959902,49.329940
8090.000000000000000,8090.000000000000000,15-2853-31,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,404.029697999999996,99.692862000000005,404.029697999999996,99.692862000000005,-123.032369,49.336364
10294.000000000000000,10294.000000000000000,17748-128,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,462.254506999999990,101.213531000000003,462.254506999999990,101.213531000000003,-123.040065,49.328779
10707.000000000000000,10707.000000000000000,18033-7,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,624.491238999999950,103.732704999999996,624.491238999999950,103.732704999999996,-122.944348,49.320951
11199.000000000000000,11199.000000000000000,19-4680-1,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,498.103518000000008,100.450980000000001,498.103518000000008,100.450980000000001,-123.107471,49.318282
11293.000000000000000,11293.000000000000000,19-8730-9,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,622.550587999999948,101.603126000000003,622.550587999999948,101.603126000000003,-123.109988,49.318975
11901.000000000000000,11901.000000000000000,2-1459-20,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,3406.557909999999993,257.789114999999981,3406.557909999999993,257.789114999999981,-123.067828,49.371529
12043.000000000000000,12043.000000000000000,2-3412-3,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,760.898090000000025,128.815494000000001,760.898090000000025,128.815494000000001,-123.109673,49.330770
12079.000000000000000,12079.000000000000000,2-3582-36,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,423.815068999999994,97.700777000000002,423.815068999999994,97.700777000000002,-123.069026,49.353539
12488.000000000000000,12488.000000000000000,20-11577-8,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,756.615093999999999,116.204678000000001,756.615093999999999,116.204678000000001,-123.107182,49.347462
12895.000000000000000,12895.000000000000000,20451-J,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,920.314677999999958,138.439830999999998,920.314677999999958,138.439830999999998,-122.996222,49.317698
15367.000000000000000,15367.000000000000000,29-8221-11,JUNE 2009,A LAU,,Y,YES,PC0317,N,NO,563.244722000000024,97.718249000000000,563.244722000000024,97.718249000000000,-123.110492,49.321852
15918.000000000000000,15918.000000000000000,3-3766-7,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,545.152492000000052,102.805312999999998,545.152492000000052,102.805312999999998,-122.948903,49.324811
16641.000000000000000,16641.000000000000000,33-9317-G,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,637.232436000000007,115.107662000000005,637.232436000000007,115.107662000000005,-123.043142,49.313880
17002.000000000000000,17002.000000000000000,3W-1493-1,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,546.188972000000035,116.497145000000003,546.188972000000035,116.497145000000003,-123.073760,49.357066
